Reference, Value,Cost,Order Website,Comments,Description
U6,ARDUINO_MEGA,$0.00 ,Already Acquired,,
U2,ADXL345,$17.95 ,https://www.sparkfun.com/products/9836,Included breakout board,
U1,HC-SR04,$6.34 ,https://www.amazon.com/SainSmart-HC-SR04-Ranging-Detector-Distance/dp/B004U8TOE6,,
U4,QTR-1A,$4.25 ,https://www.pololu.com/product/2458,2 PACK,
U5,QTR-1A,$0.00 ,Included in 2 pack above,included in 2 pack above,
U3,HMC5883L,$14.95 ,https://www.sparkfun.com/products/10530,,
L1,Solenoid,$4.95 ,https://www.sparkfun.com/products/11015,,
L2,Solenoid,$4.95 ,https://www.sparkfun.com/products/11015,,
R2,1KΩ,$0.99 ,http://www.jameco.com/webapp/wcs/stores/servlet/Product_10001_10001_690865_-1,Must order at least 10 at $0.099 each,
R1,1KΩ,,Included in 10 pack above,,
D1,1N4001,$0.50 ,http://www.jameco.com/webapp/wcs/stores/servlet/Product_10001_10001_35975_-1,Must order at least 10 at $0.05 each,
D2,1N4001,$0.00 ,Included in 10 pack above,,
Q1,TIP120,$0.49 ,http://www.jameco.com/webapp/wcs/stores/servlet/Product_10001_10001_32994_-1,,
Q2,TIP120,$0.49 ,http://www.jameco.com/webapp/wcs/stores/servlet/Product_10001_10001_32994_-1,,
BT2,High_Power_Battery,,,,
BT1,Low_Power_Battery,,,,
